source,target
1,828
10,828
101,219
102,727
103,828
105,727
106,828
106,560
106,498
107,828
108,828
109,828
116,727
117,727
117,828
118,219
118,727
12,828
120,727
121,219
123,727
124,727
125,828
126,219
127,727
128,828
129,828
129,727
129,710
13,828
13,727
13,270
130,828
125,130
130,844
131,727
131,219
133,828
136,828
138,219
139,219
139,868
14,219
14,715
140,727
145,219
145,828
125,145
147,727
148,828
149,727
15,727
150,727
151,727
151,828
152,727
154,727
156,727
16,727
160,24
160,219
160,828
160,844
161,423
162,828
164,828
165,828
166,828
167,828
168,219
169,74
169,755
169,219
169,762
17,828
170,727
171,219
172,219
173,828
174,219
175,828
176,727
177,219
178,828
179,727
181,727
182,828
183,727
183,828
183,259
183,270
184,727
185,727
185,828
188,219
191,828
193,828
193,309
194,219
195,219
195,828
195,372
196,828
196,219
10,196
196,705
196,727
197,24
197,828
197,727
197,755
197,715
197,679
198,727
199,828
20,259
20,828
200,727
202,828
202,844
202,219
203,828
204,727
204,219
204,722
205,219
206,219
209,727
209,828
209,755
210,828
211,828
213,828
214,219
215,727
216,299
217,828
217,219
218,828
219,53
219,727
219,828
219,868
219,867
219,750
219,463
219,87
219,370
219,423
219,594
219,670
220,727
219,221
221,828
221,334
221,727
125,221
223,828
224,727
224,828
225,24
225,828
225,727
18,226
219,226
226,727
228,727
229,727
23,727
219,230
230,727
230,270
232,727
219,234
207,235
236,828
237,727
219,239
24,828
240,828
240,727
240,395
240,270
240,715
240,341
240,795
240,590
240,885
241,828
219,243
244,828
246,828
247,828
248,727
249,828
251,727
252,90
252,678
252,844
253,828
254,727
219,255
255,727
255,828
258,727
219,26
219,260
260,828
261,828
262,828
264,828
219,265
219,266
267,727
267,828
268,727
27,828
270,828
271,828
272,727
273,828
274,828
274,395
274,538
274,498
274,689
274,825
276,828
279,828
28,727
280,727
281,639
281,727
282,727
284,828
285,828
286,727
287,727
288,828
289,828
29,828
29,498
11,29
291,828
293,727
294,828
296,727
219,297
297,727
297,595
3,727
30,727
300,727
302,828
303,828
219,303
303,375
304,727
305,828
306,727
308,828
311,727
312,727
313,828
315,727
219,315
317,727
317,828
32,727
320,828
321,727
322,828
323,828
325,828
219,325
326,727
327,828
330,828
331,828
332,727
332,868
332,589
219,333
333,828
335,727
335,828
335,615
335,620
250,335
336,828
337,828
338,727
339,828
34,828
340,828
341,828
219,342
343,727
344,828
345,828
219,347
141,348
349,828
35,828
351,727
352,727
353,727
355,727
358,727
36,727
360,727
361,727
362,828
219,364
365,727
219,366
366,828
136,366
144,366
366,794
367,828
368,727
368,828
219,368
372,828
374,727
219,376
125,376
376,727
376,378
376,803
379,828
219,381
381,85
383,828
383,458
383,544
383,605
383,764
135,383
386,828
388,828
389,727
39,727
39,828
391,828
219,391
391,560
391,578
392,828
393,727
394,828
396,727
219,396
219,397
398,727
219,398
399,727
4,727
219,400
269,400
400,868
400,683
172,400
401,828
403,828
406,727
219,407
125,407
219,408
41,828
410,727
410,545
410,846
411,828
412,828
414,828
415,828
416,727
416,828
418,828
42,498
219,420
420,722
421,828
425,828
426,828
427,727
428,828
429,828
430,658
431,727
432,885
219,433
434,828
435,828
436,828
437,727
437,828
438,727
439,727
44,727
440,828
24,441
441,727
219,441
219,442
442,727
443,727
219,443
445,727
219,448
450,727
450,599
10,452
113,452
219,452
452,727
452,560
270,452
452,794
452,578
452,710
452,713
453,727
454,727
456,828
457,727
457,828
459,828
46,828
461,828
219,461
461,727
462,828
465,727
219,466
467,727
47,727
219,472
473,828
219,474
474,727
219,476
477,828
478,828
479,828
48,828
219,48
480,828
219,481
219,482
483,727
219,485
485,828
486,727
487,828
487,727
372,487
487,794
487,722
488,727
489,727
219,49
490,825
493,828
496,727
219,497
498,828
5,727
5,828
50,828
501,727
501,605
501,723
504,727
505,828
507,727
509,727
509,828
51,828
219,510
10,511
43,511
295,511
511,825
511,828
511,722
511,885
219,512
512,727
513,828
514,828
219,515
516,727
500,517
517,846
518,727
519,727
219,52
520,727
521,727
219,522
522,828
125,522
522,727
522,723
523,828
219,525
526,727
527,828
219,528
529,828
530,828
532,828
309,532
533,828
535,828
219,537
537,828
539,727
540,727
541,727
219,541
542,727
543,828
547,727
549,828
55,727
219,55
550,828
550,727
551,828
552,727
553,828
554,828
10,555
112,555
219,555
555,828
555,727
555,869
271,555
555,715
289,555
334,555
372,555
375,555
449,555
341,555
175,555
34,555
495,555
555,578
555,605
555,710
555,668
555,748
555,822
11,555
556,727
557,727
558,828
219,56
53,561
561,727
561,828
219,561
561,732
136,562
219,562
562,828
498,562
375,562
562,727
10,562
562,822
562,578
563,727
564,828
565,828
566,727
566,828
567,828
568,727
568,828
290,568
423,568
568,576
57,828
570,727
571,828
572,727
573,828
574,727
575,828
219,577
578,828
579,727
24,58
136,58
580,828
581,828
581,727
581,755
582,828
584,727
585,825
586,727
587,828
588,727
591,727
593,828
219,597
597,727
598,727
6,727
6,828
60,828
219,60
601,727
378,602
602,706
603,639
604,727
604,828
605,828
606,828
609,727
61,727
61,828
611,727
612,828
613,727
613,828
219,613
219,614
616,828
617,727
617,755
62,828
219,62
62,727
624,727
624,828
625,828
219,625
626,727
627,828
219,628
125,628
23,63
63,727
630,727
631,727
632,828
25,633
633,85
219,633
633,828
633,727
357,633
633,794
633,844
534,633
578,633
606,633
633,883
633,639
219,635
636,727
637,828
638,727
578,640
19,640
641,828
643,727
646,828
647,828
649,828
