source,target
555,452
555,871
555,240
555,633
555,274
452,871
452,240
452,633
452,274
871,240
871,633
871,274
240,633
240,274
221,381
221,817
221,562
633,274
381,817
381,562
696,882
696,692
696,786
696,202
696,581
696,225
696,501
882,692
882,786
882,202
882,581
882,225
882,501
817,562
692,786
692,202
692,581
692,225
692,501
786,202
786,581
786,225
786,501
391,697
391,836
391,130
391,106
391,196
391,656
391,666
391,7
391,14
391,640
391,890
391,875
391,281
202,581
202,225
202,501
697,836
697,130
697,106
697,196
697,656
697,666
697,7
697,14
697,640
697,890
697,875
697,281
581,225
581,501
225,501
550,261
550,625
550,325
550,728
550,62
550,597
550,81
550,461
550,129
550,877
550,13
550,442
550,407
550,303
261,625
261,325
261,728
261,62
261,597
261,81
261,461
261,129
261,877
261,13
261,442
261,407
261,303
836,130
836,106
836,196
836,656
836,666
836,7
836,14
836,640
836,890
836,875
836,281
130,106
130,196
130,656
130,666
130,7
130,14
130,640
130,890
130,875
130,281
625,325
625,728
625,62
625,597
625,81
625,461
625,129
625,877
625,13
625,442
625,407
625,303
106,196
106,656
106,666
106,7
106,14
106,640
106,890
106,875
106,281
196,656
196,666
196,7
196,14
196,640
196,890
196,875
196,281
197,99
197,815
197,775
656,666
656,7
656,14
656,640
656,890
656,875
656,281
666,7
666,14
666,640
666,890
666,875
666,281
7,14
7,640
7,890
7,875
7,281
99,815
99,775
325,728
325,62
325,597
325,81
325,461
325,129
325,877
325,13
325,442
325,407
325,303
14,640
14,890
14,875
14,281
640,890
640,875
640,281
79,335
79,561
79,711
79,131
810,767
810,725
810,774
663,260
663,830
663,230
663,267
663,416
663,894
728,62
728,597
728,81
728,461
728,129
728,877
728,13
728,442
728,407
728,303
62,597
62,81
62,461
62,129
62,877
62,13
62,442
62,407
62,303
260,830
260,230
260,267
260,416
260,894
597,81
597,461
597,129
597,877
597,13
597,442
597,407
597,303
890,875
890,281
767,725
767,774
830,230
830,267
830,416
830,894
230,267
230,416
230,894
875,281
267,416
267,894
815,775
335,561
335,711
335,131
81,461
81,129
81,877
81,13
81,442
81,407
81,303
461,129
461,877
461,13
461,442
461,407
461,303
416,894
129,877
129,13
129,442
129,407
129,303
561,711
561,131
855,388
855,694
855,821
855,193
855,415
855,558
855,603
855,781
855,888
855,285
855,339
855,349
855,428
855,530
855,637
855,693
855,861
855,164
855,166
855,246
855,27
855,50
855,549
855,571
855,107
855,133
855,305
855,336
855,401
855,42
855,432
855,434
855,436
855,479
855,490
855,505
855,57
855,573
855,585
855,616
855,627
855,673
855,68
855,700
855,704
855,785
855,83
855,858
855,96
711,131
725,774
877,13
877,442
877,407
877,303
388,694
388,821
388,193
388,415
388,558
388,603
388,781
388,888
388,285
388,339
388,349
388,428
388,530
388,637
388,693
388,861
388,164
388,166
388,246
388,27
388,50
388,549
388,571
388,107
388,133
388,305
388,336
388,401
388,42
388,432
388,434
388,436
388,479
388,490
388,505
388,57
388,573
388,585
388,616
388,627
388,673
388,68
388,700
388,704
388,785
388,83
388,858
388,96
694,821
694,193
694,415
694,558
694,603
694,781
694,888
694,285
694,339
694,349
694,428
694,530
694,637
694,693
694,861
694,164
694,166
694,246
694,27
694,50
694,549
694,571
694,107
694,133
694,305
694,336
694,401
694,42
694,432
694,434
694,436
694,479
694,490
694,505
694,57
694,573
694,585
694,616
694,627
694,673
694,68
694,700
694,704
694,785
694,83
694,858
694,96
821,193
821,415
821,558
821,603
821,781
821,888
821,285
821,339
821,349
821,428
821,530
821,637
821,693
821,861
821,164
821,166
821,246
821,27
821,50
821,549
821,571
821,107
821,133
821,305
821,336
821,401
821,42
821,432
821,434
821,436
821,479
821,490
821,505
821,57
821,573
821,585
821,616
821,627
821,673
821,68
821,700
821,704
821,785
821,83
821,858
821,96
13,442
13,407
13,303
193,415
193,558
193,603
193,781
193,888
193,285
193,339
193,349
193,428
193,530
193,637
193,693
193,861
193,164
193,166
193,246
193,27
193,50
193,549
193,571
193,107
193,133
193,305
193,336
193,401
193,42
193,432
193,434
193,436
193,479
193,490
193,505
193,57
193,573
193,585
193,616
193,627
193,673
193,68
193,700
193,704
193,785
193,83
193,858
193,96
415,558
415,603
415,781
415,888
415,285
415,339
415,349
415,428
415,530
415,637
415,693
415,861
415,164
415,166
415,246
415,27
415,50
415,549
415,571
415,107
415,133
415,305
415,336
415,401
415,42
415,432
415,434
415,436
415,479
415,490
415,505
415,57
415,573
415,585
415,616
415,627
415,673
415,68
415,700
415,704
415,785
415,83
415,858
415,96
442,407
442,303
558,603
558,781
558,888
558,285
558,339
558,349
558,428
558,530
558,637
558,693
558,861
558,164
558,166
558,246
558,27
558,50
558,549
558,571
558,107
558,133
558,305
558,336
558,401
558,42
558,432
558,434
558,436
558,479
558,490
558,505
558,57
558,573
558,585
558,616
558,627
558,673
558,68
558,700
558,704
558,785
558,83
558,858
558,96
603,781
603,888
603,285
603,339
603,349
603,428
603,530
603,637
603,693
603,861
603,164
603,166
603,246
603,27
603,50
603,549
603,571
603,107
603,133
603,305
603,336
603,401
603,42
603,432
603,434
603,436
603,479
603,490
603,505
603,57
603,573
603,585
603,616
603,627
603,673
603,68
603,700
603,704
603,785
603,83
603,858
603,96
781,888
781,285
781,339
781,349
781,428
781,530
781,637
781,693
781,861
781,164
781,166
781,246
781,27
781,50
781,549
781,571
781,107
781,133
781,305
781,336
781,401
781,42
781,432
781,434
781,436
781,479
781,490
781,505
781,57
781,573
781,585
781,616
781,627
781,673
781,68
781,700
781,704
781,785
781,83
781,858
781,96
888,285
888,339
888,349
888,428
888,530
888,637
888,693
888,861
888,164
888,166
888,246
888,27
888,50
888,549
888,571
888,107
888,133
888,305
888,336
888,401
888,42
888,432
888,434
888,436
888,479
888,490
888,505
888,57
888,573
888,585
888,616
888,627
888,673
888,68
888,700
888,704
888,785
888,83
888,858
888,96
285,339
285,349
285,428
285,530
285,637
285,693
285,861
285,164
285,166
285,246
285,27
285,50
285,549
285,571
285,107
285,133
285,305
285,336
285,401
285,42
285,432
285,434
285,436
285,479
285,490
285,505
285,57
285,573
285,585
285,616
285,627
285,673
285,68
285,700
285,704
285,785
285,83
285,858
285,96
339,349
339,428
339,530
339,637
339,693
339,861
339,164
339,166
339,246
339,27
339,50
339,549
339,571
339,107
339,133
339,305
339,336
339,401
339,42
339,432
339,434
339,436
339,479
339,490
339,505
339,57
339,573
339,585
339,616
339,627
339,673
339,68
339,700
339,704
339,785
339,83
339,858
339,96
349,428
349,530
349,637
349,693
349,861
349,164
349,166
349,246
349,27
349,50
349,549
349,571
349,107
349,133
349,305
349,336
349,401
349,42
349,432
349,434
349,436
349,479
349,490
349,505
349,57
349,573
349,585
349,616
349,627
349,673
349,68
349,700
349,704
349,785
349,83
349,858
349,96
428,530
428,637
428,693
428,861
428,164
428,166
428,246
428,27
428,50
428,549
428,571
428,107
428,133
428,305
428,336
428,401
428,42
428,432
428,434
428,436
428,479
428,490
428,505
428,57
428,573
428,585
428,616
428,627
428,673
428,68
428,700
428,704
428,785
428,83
428,858
428,96
530,637
530,693
530,861
530,164
530,166
530,246
530,27
530,50
530,549
530,571
530,107
530,133
530,305
530,336
530,401
530,42
530,432
530,434
530,436
530,479
530,490
530,505
530,57
530,573
530,585
530,616
530,627
530,673
530,68
530,700
530,704
530,785
530,83
530,858
530,96
637,693
637,861
637,164
637,166
637,246
637,27
637,50
637,549
637,571
637,107
637,133
637,305
637,336
637,401
637,42
637,432
637,434
637,436
637,479
637,490
637,505
637,57
637,573
637,585
637,616
637,627
637,673
637,68
637,700
637,704
637,785
637,83
637,858
637,96
693,861
693,164
693,166
693,246
693,27
693,50
693,549
693,571
693,107
693,133
693,305
693,336
693,401
693,42
693,432
693,434
693,436
693,479
693,490
693,505
693,57
693,573
693,585
693,616
693,627
693,673
693,68
693,700
693,704
693,785
693,83
693,858
693,96
861,164
861,166
861,246
861,27
861,50
861,549
861,571
861,107
861,133
861,305
861,336
861,401
861,42
861,432
861,434
861,436
861,479
861,490
861,505
861,57
861,573
861,585
861,616
861,627
861,673
861,68
861,700
861,704
861,785
861,83
861,858
861,96
164,166
164,246
164,27
164,50
164,549
164,571
164,107
164,133
164,305
164,336
164,401
164,42
164,432
164,434
164,436
164,479
164,490
164,505
164,57
164,573
164,585
164,616
164,627
164,673
164,68
164,700
164,704
164,785
164,83
164,858
164,96
166,246
166,27
166,50
166,549
166,571
166,107
166,133
166,305
166,336
166,401
166,42
166,432
166,434
166,436
166,479
166,490
166,505
166,57
166,573
166,585
166,616
166,627
166,673
166,68
166,700
166,704
166,785
166,83
166,858
166,96
246,27
246,50
246,549
246,571
246,107
246,133
246,305
246,336
246,401
246,42
246,432
246,434
246,436
246,479
246,490
246,505
246,57
246,573
246,585
246,616
246,627
246,673
246,68
246,700
246,704
246,785
246,83
246,858
246,96
27,50
27,549
27,571
27,107
27,133
27,305
27,336
27,401
27,42
27,432
27,434
27,436
27,479
27,490
27,505
27,57
27,573
27,585
27,616
27,627
27,673
27,68
27,700
27,704
27,785
27,83
27,858
27,96
50,549
50,571
50,107
50,133
50,305
50,336
50,401
50,42
50,432
50,434
50,436
50,479
50,490
50,505
50,57
50,573
50,585
50,616
50,627
50,673
50,68
50,700
50,704
50,785
50,83
50,858
50,96
549,571
549,107
549,133
549,305
549,336
549,401
549,42
549,432
549,434
549,436
549,479
549,490
549,505
549,57
549,573
549,585
549,616
549,627
549,673
549,68
549,700
549,704
549,785
549,83
549,858
549,96
571,107
571,133
571,305
571,336
571,401
571,42
571,432
571,434
571,436
571,479
571,490
571,505
571,57
571,573
571,585
571,616
571,627
571,673
571,68
571,700
571,704
571,785
571,83
571,858
571,96
107,133
107,305
107,336
107,401
107,42
107,432
107,434
107,436
107,479
107,490
107,505
107,57
107,573
107,585
