source,target
555,487
555,810
555,767
555,55
555,815
555,775
555,253
555,532
555,511
555,817
555,381
555,221
555,562
555,173
555,889
555,46
555,513
555,896
555,681
555,414
555,73
555,294
555,211
555,649
555,452
555,871
555,240
555,633
555,274
452,55
452,487
452,774
452,767
452,99
452,197
452,128
452,838
452,381
452,817
452,562
452,221
452,46
452,173
452,733
452,513
452,896
452,680
452,414
452,322
452,211
452,275
452,717
452,871
452,240
452,633
452,274
871,774
871,767
871,810
871,725
871,197
871,511
871,20
871,817
871,562
871,381
871,173
871,513
871,681
871,414
871,240
871,633
871,274
240,55
240,774
240,810
240,487
240,767
240,725
240,866
240,99
240,815
240,197
240,128
240,511
240,532
240,381
240,386
240,421
240,737
240,681
240,633
240,274
221,381
221,817
221,562
633,810
633,767
633,55
633,815
633,197
633,775
633,511
633,562
633,680
633,414
633,322
633,73
633,356
633,310
633,274
274,487
274,810
274,55
274,197
274,815
274,775
274,253
274,532
274,511
274,381
274,562
274,817
274,294
274,413
274,735
381,414
381,612
381,817
381,562
696,252
696,169
696,240
696,633
696,274
696,555
696,810
696,767
696,774
696,725
696,866
696,99
696,197
696,221
696,381
696,562
696,817
696,173
696,322
696,211
696,551
696,276
696,649
696,882
696,692
696,786
696,202
696,581
696,225
696,501
882,274
882,555
882,633
882,452
882,725
882,774
882,487
882,810
882,55
882,682
882,197
882,99
882,815
882,562
882,817
882,221
882,173
882,680
882,692
882,786
882,202
882,581
882,225
882,501
817,896
817,414
817,322
817,562
692,77
692,871
692,452
692,810
692,774
692,487
692,775
692,99
692,511
692,838
692,562
692,817
692,221
692,46
692,109
692,371
692,786
692,202
692,581
692,225
692,501
786,383
786,745
786,633
786,274
786,555
786,240
786,871
786,452
786,487
786,725
786,810
786,767
786,55
786,99
786,775
786,197
786,815
786,221
786,381
786,562
786,201
786,202
786,581
786,225
786,501
391,160
391,29
391,366
391,763
391,195
391,522
391,153
391,786
391,202
391,882
391,225
391,581
391,692
391,696
391,501
391,555
391,871
391,452
391,815
391,197
391,729
391,253
391,511
391,20
391,817
391,221
391,381
391,896
391,322
391,697
391,836
391,130
391,106
391,196
391,656
391,666
391,7
391,14
391,640
391,890
391,875
391,281
202,383
202,745
202,871
202,240
202,725
202,767
202,810
202,774
202,487
202,197
202,99
202,532
202,221
202,817
202,581
202,225
202,501
697,527
697,522
697,366
697,376
697,628
697,160
697,537
697,202
697,225
697,692
697,882
697,696
697,501
697,555
697,871
697,240
697,452
697,55
697,725
697,487
697,197
697,816
697,532
697,20
697,221
697,348
697,836
697,130
697,106
697,196
697,656
697,666
697,7
697,14
697,640
697,890
697,875
697,281
581,252
581,240
581,871
581,452
581,274
581,555
581,725
581,487
581,55
581,810
581,767
581,775
581,197
581,20
581,562
581,680
581,322
581,225
581,501
225,745
225,383
225,555
225,452
225,871
225,810
225,767
225,487
225,99
225,197
225,221
225,817
225,562
225,178
225,276
225,201
225,735
225,501
501,169
501,745
501,687
501,77
501,274
501,871
501,55
501,810
501,767
501,775
501,197
501,817
501,562
501,221
501,680
550,640
550,875
550,697
550,7
550,106
550,391
550,646
550,117
550,891
550,751
550,61
550,6
550,488
550,79
550,711
550,161
550,829
550,568
550,335
550,160
550,628
550,29
550,376
550,195
550,763
550,777
550,145
550,230
550,485
550,663
550,260
550,830
550,894
550,267
550,537
550,692
550,696
550,202
550,786
550,225
550,882
550,581
550,274
550,871
550,555
550,452
550,633
550,240
550,725
550,767
550,810
550,487
550,774
550,775
550,197
550,815
550,817
550,381
550,221
550,261
550,625
550,325
550,728
550,62
550,597
550,81
550,461
550,129
550,877
550,13
550,442
550,407
550,303
261,640
261,14
261,836
261,130
261,666
261,7
261,106
261,697
261,39
261,891
261,6
261,86
261,61
261,58
261,400
261,131
261,335
261,79
261,708
261,711
261,829
261,145
261,376
261,29
261,628
261,195
261,763
261,366
261,416
261,537
261,485
261,202
261,225
261,581
261,501
261,786
261,692
261,696
261,452
261,555
261,633
261,871
261,240
261,810
261,487
261,725
261,99
261,197
261,775
261,817
261,221
261,625
261,325
261,728
261,62
261,597
261,81
261,461
261,129
261,877
261,13
261,442
261,407
261,303
836,376
836,160
836,628
836,777
836,522
836,29
836,894
836,225
836,882
836,692
836,202
836,696
836,786
836,501
836,77
836,633
836,452
836,487
836,729
836,532
836,817
836,221
836,681
836,322
836,130
836,106
836,196
836,656
836,666
836,7
836,14
836,640
836,890
836,875
836,281
130,628
130,145
130,763
130,160
130,522
130,777
130,376
130,366
130,333
130,663
130,230
130,202
130,501
130,240
130,555
130,452
130,810
130,767
130,725
130,253
130,816
130,838
130,511
130,562
130,221
130,817
130,513
130,106
130,196
130,656
130,666
130,7
130,14
130,640
130,890
130,875
130,281
625,106
625,130
625,836
625,890
625,391
625,281
625,697
625,666
625,875
625,14
625,196
625,457
625,891
625,39
625,646
625,117
625,86
625,488
625,61
625,6
625,79
625,667
625,335
625,131
625,400
625,708
625,522
625,160
625,366
625,763
625,29
625,195
625,376
625,663
625,894
625,537
625,230
625,260
625,485
625,882
625,692
625,786
625,696
625,225
625,581
625,501
625,555
625,452
625,871
625,633
625,274
625,240
625,767
625,810
625,775
625,197
625,817
625,221
625,381
625,681
625,325
625,728
625,62
625,597
625,81
625,461
625,129
625,877
625,13
625,442
625,407
625,303
106,29
106,376
106,195
106,522
106,145
106,474
106,897
106,663
106,696
106,786
106,274
106,633
106,555
106,871
106,240
106,725
106,767
106,99
106,197
106,775
106,838
106,511
106,562
106,381
106,221
106,513
106,196
106,656
106,666
106,7
106,14
106,640
106,890
106,875
106,281
196,151
196,568
196,777
196,763
196,160
196,830
196,485
196,894
196,786
196,383
196,633
196,452
196,274
196,810
196,815
196,99
196,816
196,511
196,532
196,221
196,656
196,666
196,7
196,14
196,640
196,890
196,875
196,281
197,221
197,817
197,381
197,562
197,46
197,173
197,82
197,834
197,414
197,856
197,99
197,815
197,775
656,891
656,39
656,376
656,195
656,628
656,763
656,522
656,882
656,692
656,202
656,696
656,581
656,501
656,555
656,274
656,871
656,240
656,452
656,55
656,197
656,815
656,99
656,775
656,253
656,511
656,817
656,381
656,896
656,513
656,322
656,666
656,7
656,14
656,640
656,890
656,875
656,281
666,39
666,58
666,79
666,522
666,376
666,29
666,366
666,52
666,830
666,696
666,225
666,882
666,383
666,240
666,452
666,55
666,767
666,810
666,815
666,128
666,511
666,838
666,20
666,221
666,817
666,322
666,7
666,14
666,640
666,890
666,875
666,281
7,131
7,708
7,777
7,376
7,145
7,260
7,882
7,202
7,581
7,692
7,452
7,555
7,274
7,240
7,871
